user_id,order_id,channel,order_value,date
7999476853921506700,1472943861,(direct),134.85,20160903
5157028803252486506,1472971568,google,24.97,20160903
4962329323479469422,1472943476,(direct),16.09,20160903
2139819648016556317,1472912033,(direct),14.96,20160903
889484015663276580,1472908509,google,81.49,20160903
3189657412693012023,1472914693,google,34.97,20160903
6207999688575993846,1472936130,sites.google.com,18.37,20160903
3106406359613748642,1472945051,google,75.4,20160903
5804926577039377233,1472965328,(direct),58.66,20160903
6786160026514884079,1472957000,(direct),82.14,20160903
5021173685677286713,1472949601,(direct),105.63,20160903
9275813847347927121,1472949489,google,45.47,20160903
0806020265191525997,1472936633,google,219.03,20160903
6736977205570964943,1501376885,(direct),18.77,20170729
1393633173328801040,1501361792,(direct),68.55,20170729
4683498388367209057,1501351234,google,22.99,20170729
8669188840409334896,1501361621,google,9.99,20170729
2459432206617896206,1501393054,google,17.79,20170729
3948753572772915413,1501382038,google,56.17,20170729
4370296679036736835,1501392225,(direct),43.28,20170729
7824102392765552707,1501373563,(direct),198.28,20170729
7012131705583674177,1501366318,(direct),245.99,20170729
5239443997664471780,1501364305,(direct),40.79,20170729
7409212089173005419,1501387905,google,29.28,20170729
0326671467950015369,1501316071,(direct),55.43,20170729
4624790961997446284,1501363092,google,12.39,20170729
3971437232101672363,1501381732,google,16.99,20170729
1741172694620038876,1501351286,google,66.15,20170729
372706149688864468,1501336977,(direct),52.3,20170729
9972641923092309898,1501390392,google,40.14,20170729
9179364299608933418,1501353665,google,28.38,20170729
2219981041933608843,1501342522,(direct),21.35,20170729
3724383329494779540,1500822297,(direct),5.97,20170723
8364082612050395902,1500871958,(direct),49.56,20170723
4787370740481074044,1500875869,google,13.59,20170723
6052206455243513477,1500844993,(direct),1794.4,20170723
0546450430035162938,1500871732,(direct),20.99,20170723
0572135527461851083,1500795508,(direct),18.99,20170723
0956108016718766611,1500857712,(direct),2.99,20170723
1931723981901564088,1500876134,(direct),10.79,20170723
2618807484848182971,1500869814,google,37.04,20170723
5991536664355896877,1500855705,(direct),49.98,20170723
5952422370450576468,1500860215,(direct),11.19,20170723
7985347873719599013,1500837727,google,17.97,20170723
3123912150867532904,1500872304,google,34.0,20170723
7303461177926085857,1500826999,google,99.95,20170723
4702607995709465702,1500860640,(direct),39.93,20170723
953713676730854570,1500871409,google,39.58,20170723
3978330627656387084,1501480523,(direct),71.99,20170730
8009185599443907717,1501451486,google,13.29,20170730
3004433257206076818,1501471071,(direct),13.59,20170730
713731982901764318,1501459755,(direct),399.8,20170730
0951967559171152344,1501464266,(direct),23.59,20170730
1051896220301954151,1501456268,(direct),55.99,20170730
