user_id,total_spent,num_orders,customer_type,avg_order_value,ltv,cac,net_value
213131142648941,33.59,1,one-time,33.59,33.59,50.0,-16.409999999999997
435324061339869,44.79,1,one-time,44.79,44.79,50.0,-5.210000000000001
562678147042735,95.7,1,one-time,95.7,95.7,50.0,45.7
585708896049892,43.97,1,one-time,43.97,43.97,50.0,-6.030000000000001
670722016498267,37.98,1,one-time,37.98,37.98,50.0,-12.020000000000003
852801263780322,75.0,1,one-time,75.0,75.0,50.0,25.0
1123528056036404,96.96,1,one-time,96.96,96.96,50.0,46.959999999999994
1905118576359487,17.19,1,one-time,17.19,17.19,50.0,-32.81
2527528149176601,16.99,1,one-time,16.99,16.99,50.0,-33.010000000000005
2709834583138581,1.99,1,one-time,1.99,1.99,50.0,-48.01
2838359588704338,15.13,1,one-time,15.13,15.13,300.0,-284.87
2871498069867123,96.35,1,one-time,96.35,96.35,50.0,46.349999999999994
3038010493412298,147.98,1,one-time,147.98,147.98,50.0,97.97999999999999
3438471796886087,16.99,1,one-time,16.99,16.99,50.0,-33.010000000000005
3450834640354121,57.95,1,one-time,57.95,57.95,300.0,-242.05
3717831825503026,13.29,1,one-time,13.29,13.29,50.0,-36.71
3961110741104601,4.98,1,one-time,4.98,4.98,300.0,-295.02
4638983005167591,59.96,1,one-time,59.96,59.96,50.0,9.96
4868452367846670,132.58,1,one-time,132.58,132.58,300.0,-167.42
5339642194263188,9.47,1,one-time,9.47,9.47,50.0,-40.53
5791622267997002,14.3,1,one-time,14.3,14.3,200.0,-185.7
5879659021728039,79.99,1,one-time,79.99,79.99,300.0,-220.01
5987390541733447,25.98,1,one-time,25.98,25.98,300.0,-274.02
6173812362189693,482.54999999999995,2,repeat,241.27499999999998,482.54999999999995,50.0,432.54999999999995
6366382357860597,43.96,1,one-time,43.96,43.96,300.0,-256.04
6911334202687206,58.5,1,one-time,58.5,58.5,300.0,-241.5
7370307513460988,72.78,1,one-time,72.78,72.78,50.0,22.78
7610360596308606,22.47,1,one-time,22.47,22.47,50.0,-27.53
7617910709180468,18.99,1,one-time,18.99,18.99,50.0,-31.01
7785136914311905,140.0,1,one-time,140.0,140.0,50.0,90.0
7933257389091624,33.59,1,one-time,33.59,33.59,50.0,-16.409999999999997
7943880251511904,59.99,1,one-time,59.99,59.99,50.0,9.990000000000002
8569875679640708,2.48,1,one-time,2.48,2.48,50.0,-47.52
8635110543627771,48.78,1,one-time,48.78,48.78,50.0,-1.2199999999999989
8803033727416939,18.99,1,one-time,18.99,18.99,50.0,-31.01
9046037663524262,140.76,2,repeat,70.38,140.76,300.0,-159.24
9644182629851608,38.38,1,one-time,38.38,38.38,50.0,-11.619999999999997
10235349034444058,15.19,1,one-time,15.19,15.19,50.0,-34.81
10295111715775250,2.39,1,one-time,2.39,2.39,50.0,-47.61
11012202755429691,33.59,1,one-time,33.59,33.59,50.0,-16.409999999999997
11018661240317813,13.59,1,one-time,13.59,13.59,50.0,-36.41
11223364686614335,38.97,1,one-time,38.97,38.97,50.0,-11.030000000000001
12559495913113852,18.99,1,one-time,18.99,18.99,300.0,-281.01
12561433643490595,4.39,1,one-time,4.39,4.39,300.0,-295.61
13296981549010416,16.99,1,one-time,16.99,16.99,300.0,-283.01
13937734216012052,137.27,1,one-time,137.27,137.27,50.0,87.27000000000001
14253006455543633,55.99,1,one-time,55.99,55.99,300.0,-244.01
14262055593378383,42.68,3,repeat,14.226666666666667,42.68,50.0,-7.32
15618322761092379,43.35,1,one-time,43.35,43.35,50.0,-6.649999999999999
15950283479889703,1.5,1,one-time,1.5,1.5,300.0,-298.5
16474246784013973,33.59,1,one-time,33.59,33.59,200.0,-166.41
16600374334482677,31.16,1,one-time,31.16,31.16,50.0,-18.84
16925875208939543,122.97999999999999,2,repeat,61.489999999999995,122.97999999999999,50.0,72.97999999999999
18248151443924739,45.94,1,one-time,45.94,45.94,50.0,-4.060000000000002
18386080117189534,10.99,1,one-time,10.99,10.99,300.0,-289.01
18400544049332170,69.99,1,one-time,69.99,69.99,300.0,-230.01
19772767330770548,11.46,1,one-time,11.46,11.46,200.0,-188.54
19814677684676098,90.37,2,repeat,45.185,90.37,50.0,40.370000000000005
20153652546549774,61.22,1,one-time,61.22,61.22,50.0,11.219999999999999
20342483972052451,95.15,1,one-time,95.15,95.15,50.0,45.150000000000006
20502892485275044,0.77,1,one-time,0.77,0.77,50.0,-49.23
20712449954637118,87.92,1,one-time,87.92,87.92,50.0,37.92
20772809165725592,1912.0,1,one-time,1912.0,1912.0,50.0,1862.0
20941213751022444,38.96,1,one-time,38.96,38.96,300.0,-261.04
21724590578150399,33.99,1,one-time,33.99,33.99,50.0,-16.009999999999998
21939395292136520,27.95,1,one-time,27.95,27.95,300.0,-272.05
22078954710203778,41.98,1,one-time,41.98,41.98,50.0,-8.020000000000003
24164219255036061,30.44,1,one-time,30.44,30.44,300.0,-269.56
24304007537579808,177.99,1,one-time,177.99,177.99,50.0,127.99000000000001
24314485741511650,236.75,1,one-time,236.75,236.75,50.0,186.75
24507252193437459,11.96,1,one-time,11.96,11.96,200.0,-188.04
24725579067754075,28.76,1,one-time,28.76,28.76,50.0,-21.24
24932550342595467,126.89,1,one-time,126.89,126.89,300.0,-173.11
25383618704224288,24.55,1,one-time,24.55,24.55,300.0,-275.45
25733439009029964,10.39,1,one-time,10.39,10.39,50.0,-39.61
26203741366904270,289.07,1,one-time,289.07,289.07,300.0,-10.930000000000007
26286046518884836,16.68,1,one-time,16.68,16.68,200.0,-183.32
26329820781202527,42.93,1,one-time,42.93,42.93,50.0,-7.07
26401348536755877,85.56,1,one-time,85.56,85.56,200.0,-114.44
27729301290398668,59.17,1,one-time,59.17,59.17,50.0,9.170000000000002
27819532062608348,1098.0,1,one-time,1098.0,1098.0,50.0,1048.0
